0 / 1500 epochTrain loss: 0.933414, acc: 0.497 Val loss: 0.862309, acc: 0.512--- 0.4766 seconds ---
1 / 1500 epochTrain loss: 0.958478, acc: 0.510 Val loss: 0.701149, acc: 0.604--- 0.4429 seconds ---
2 / 1500 epochTrain loss: 0.732261, acc: 0.601 Val loss: 0.824965, acc: 0.553--- 0.4533 seconds ---
3 / 1500 epochTrain loss: 0.782599, acc: 0.607 Val loss: 0.817056, acc: 0.570--- 0.4350 seconds ---
4 / 1500 epochTrain loss: 0.769507, acc: 0.618 Val loss: 0.745629, acc: 0.626--- 0.4398 seconds ---
5 / 1500 epochTrain loss: 0.703160, acc: 0.645 Val loss: 0.703647, acc: 0.643--- 0.4489 seconds ---
6 / 1500 epochTrain loss: 0.679172, acc: 0.648 Val loss: 0.691849, acc: 0.636--- 0.4535 seconds ---
7 / 1500 epochTrain loss: 0.676819, acc: 0.641 Val loss: 0.682452, acc: 0.621--- 0.4537 seconds ---
8 / 1500 epochTrain loss: 0.675036, acc: 0.630 Val loss: 0.673259, acc: 0.619--- 0.4492 seconds ---
9 / 1500 epochTrain loss: 0.662809, acc: 0.630 Val loss: 0.665059, acc: 0.624--- 0.4494 seconds ---
10 / 1500 epochTrain loss: 0.649671, acc: 0.638 Val loss: 0.662473, acc: 0.636--- 0.4532 seconds ---
11 / 1500 epochTrain loss: 0.640754, acc: 0.647 Val loss: 0.667489, acc: 0.638--- 0.4508 seconds ---
12 / 1500 epochTrain loss: 0.636171, acc: 0.655 Val loss: 0.676485, acc: 0.614--- 0.4522 seconds ---
13 / 1500 epochTrain loss: 0.636362, acc: 0.654 Val loss: 0.682781, acc: 0.604--- 0.4474 seconds ---
14 / 1500 epochTrain loss: 0.638946, acc: 0.649 Val loss: 0.687395, acc: 0.593--- 0.4498 seconds ---
15 / 1500 epochTrain loss: 0.640366, acc: 0.643 Val loss: 0.687393, acc: 0.603--- 0.4469 seconds ---
16 / 1500 epochTrain loss: 0.640652, acc: 0.643 Val loss: 0.686644, acc: 0.606--- 0.4463 seconds ---
17 / 1500 epochTrain loss: 0.637213, acc: 0.649 Val loss: 0.684236, acc: 0.617--- 0.4465 seconds ---
18 / 1500 epochTrain loss: 0.635101, acc: 0.655 Val loss: 0.679964, acc: 0.624--- 0.4497 seconds ---
19 / 1500 epochTrain loss: 0.632300, acc: 0.668 Val loss: 0.677384, acc: 0.634--- 0.4468 seconds ---
20 / 1500 epochTrain loss: 0.629119, acc: 0.671 Val loss: 0.675970, acc: 0.635--- 0.4487 seconds ---
